id,name,waittime,tookedtime
8153,Enchanted Tales with Belle,30,2018-04-19T18:46:20.000Z,WaltDisneyWorldMagicKingdom_16767276,2018-04-19T18:47:14.000Z
8199,Enchanted Tales with Belle,30,2018-04-19T18:46:20.000Z,WaltDisneyWorldMagicKingdom_16767276,2018-04-19T18:48:14.000Z
8245,Enchanted Tales with Belle,30,2018-04-19T18:46:20.000Z,WaltDisneyWorldMagicKingdom_16767276,2018-04-19T18:49:14.000Z
8291,Enchanted Tales with Belle,30,2018-04-19T18:46:20.000Z,WaltDisneyWorldMagicKingdom_16767276,2018-04-19T18:50:14.000Z
8337,Enchanted Tales with Belle,30,2018-04-19T18:46:20.000Z,WaltDisneyWorldMagicKingdom_16767276,2018-04-19T18:51:14.000Z
8383,Enchanted Tales with Belle,30,2018-04-19T18:52:15.000Z,WaltDisneyWorldMagicKingdom_16767276,2018-04-19T18:52:15.000Z
8429,Enchanted Tales with Belle,30,2018-04-19T18:52:15.000Z,WaltDisneyWorldMagicKingdom_16767276,2018-04-19T18:53:14.000Z
8475,Enchanted Tales with Belle,30,2018-04-19T18:52:15.000Z,WaltDisneyWorldMagicKingdom_16767276,2018-04-19T18:54:14.000Z
8521,Enchanted Tales with Belle,30,2018-04-19T18:52:15.000Z,WaltDisneyWorldMagicKingdom_16767276,2018-04-19T18:55:14.000Z
8567,Enchanted Tales with Belle,30,2018-04-19T18:52:15.000Z,WaltDisneyWorldMagicKingdom_16767276,2018-04-19T18:56:14.000Z
8613,Enchanted Tales with Belle,30,2018-04-19T18:52:15.000Z,WaltDisneyWorldMagicKingdom_16767276,2018-04-19T18:57:14.000Z
8659,Enchanted Tales with Belle,30,2018-04-19T18:58:15.000Z,WaltDisneyWorldMagicKingdom_16767276,2018-04-19T18:58:15.000Z
8705,Enchanted Tales with Belle,30,2018-04-19T18:58:15.000Z,WaltDisneyWorldMagicKingdom_16767276,2018-04-19T18:59:14.000Z
